,zone,calendar_week,idle_hours
152,v110_h158,51,11.812222222222225
153,v110_h170,1,14.945
154,v110_h170,2,8.367407407407407
155,v110_h170,3,9.368472222222222
156,v110_h170,4,19.409027777777776
157,v110_h170,5,15.346944444444444
158,v110_h170,6,13.93340277777778
159,v110_h170,7,4.953333333333333
160,v110_h170,8,1.0484070350589394
161,v110_h170,9,0.4719425023237735
162,v110_h170,10,8.686388888888889
163,v110_h170,11,1.2501429721228705
164,v110_h170,12,1.695259504167956
165,v110_h170,13,22.934305555555557
166,v110_h170,14,15.479166666666666
167,v110_h170,15,13.733888888888888
168,v110_h170,16,19.13203703703704
169,v110_h170,17,10.379722222222222
170,v110_h170,18,8.445277777777779
171,v110_h170,19,20.41111111111111
172,v110_h170,20,4.2375
173,v110_h170,21,29.63722222222222
174,v110_h170,22,16.28872222222222
